      4 the	hospital
      4 the	home
      4 the	hbo
      4 the	gun
      4 the	game
      4 the	federal
      4 the	entire
      4 the	early
      4 the	decline
      4 the	crimes
      4 the	cost
      4 the	clerk
      4 the	church
      4 the	case
      4 the	car
      4 the	black
      4 the	beating
      4 the	area
      4 that	they
      4 that	left
      4 that	city
      4 th	street
      4 taylor	last
      4 taylor	donor
      4 taken	to
      4 t	seen
      4 t	a
      4 sydney	s
      4 susan	koehler
      4 stuart	alban
      4 street	gang
      4 story	that
      4 stories	and
      4 stoppers	at
      4 star	news
      4 staff	and
      4 squad	to
      4 so	far
      4 since	when
      4 showed	up
      4 should	be
      4 sheryl	e
      4 sheridan	ordin
      4 she	said
      4 sgvn	com
      4 sex	with
      4 seth	d
      4 serve	a
      4 senior	lawyers
      4 second	degree
      4 search	warrant
      4 search	for
      4 sean	penn
      4 scherzer	international
      4 say	they
      4 santa	ana
      4 san	jose
      4 san	diego
      4 same	time
      4 sallus	last
      4 sallus	donor
      4 said	we
      4 said	they
      4 s	top
      4 s	shooting
      4 s	not
      4 s	murder
      4 s	los
      4 s	levine
      4 s	body
      4 ryan	s
      4 ruth	j
      4 ruben	fleischer
      4 role	in
      4 rodney	king
      4 reports	load
      4 reported	on
      4 report	of
      4 regular	basis
      4 reed	elsevier
      4 reed	business
      4 ranging	from
      4 ralph	j
      4 r	stepp
      4 prosecution	unit
      4 property	and
      4 police	say
      4 played	a
      4 plastic	products
      4 place	he
      4 person	is
      4 people	were
      4 penn	ryan
      4 pasadena	star
      4 owner	s
      4 overall	crime
      4 outside	the
      4 outreach	program
      4 our	city
      4 organized	crime
      4 organised	crime
      4 order	to
      4 one	teen
      4 one	gang
      4 on	how
      4 on	bail
      4 officers	were
      4 off	the
      4 of	these
      4 of	reed
      4 of	place
      4 of	felony
      4 of	demons
      4 of	crime
      4 of	california
      4 not	going
      4 not	been
      4 no	doubt
      4 news	june
      4 news	july
      4 news	december
      4 neighborhood	watch
      4 need	to
      4 near	the
      4 nation	s
      4 much	of
      4 ms	friel
      4 mr	cooley
      4 morgan	said
      4 monday	final
      4 monday	brief
      4 michael	pena
      4 michael	j
      4 members	and
      4 mayor	antonio
      4 may	monday
      4 mark	a
      4 marijuana	dispensaries
      4 marc	m
      4 many	people
      4 maillian	last
      4 maillian	donor
      4 maher	said
      4 made	by
      4 m	seltzer
      4 m	friday
      4 lowest	number
      4 looking	into
      4 living	in
      4 life	in
      4 liebenbaum	last
      4 liebenbaum	donor
      4 leader	in
      4 lawyers	section
      4 latino	gang
      4 latham	and
      4 last	week
      4 lasher	last
      4 lasher	donor
      4 lacba	senior
      4 l	stuart
      4 l	brophy
      4 koehler	sullivan
      4 know	where
      4 kimberly	h
      4 kidnapping	and
      4 k	steinbrecher
