and,an,1,2,2
and,another,1,2,2
and,arrested,1,2,2
and,evidence,1,2,2
and,friends,1,2,2
and,i,1,2,2
and,includes,1,2,2
and,long,2,4,2
and,money,2,4,2
and,officers,1,2,2
and,socially,1,2,2
and,some,1,2,2
and,was,1,2,2
and,youth,2,4,2
are,linked,1,2,2
are,many,1,2,2
are,no,3,6,2
are,responsible,1,2,2
as,in,1,2,2
as,saying,1,2,2
at,about,1,2,2
be,the,3,6,2
been,involved,1,2,2
beginning,of,1,2,2
break,ins,1,2,2
bring,a,2,4,2
but,have,1,2,2
but,no,1,2,2
but,rather,2,4,2
but,that,2,4,2
but,this,1,2,2
by,al,1,2,2
by,officers,1,2,2
by,some,1,2,2
by,this,1,2,2
called,a,1,2,2
can,change,1,2,2
cards,to,1,2,2
case,was,1,2,2
category,of,2,4,2
charges,are,1,2,2
city,of,4,8,2
city,officials,1,2,2
collaboration,with,2,4,2
come,from,2,4,2
committing,a,1,2,2
community,to,1,2,2
comparing,the,1,2,2
concern,that,1,2,2
contacts,with,1,2,2
contributing,to,1,2,2
convicted,of,3,6,2
could,then,1,2,2
coupled,with,1,2,2
created,a,3,6,2
crime,hot,1,2,2
crime,lapd,1,2,2
crimes,committed,1,2,2
data,has,2,4,2
death,of,1,2,2
dec,the,1,2,2
decline,in,1,2,2
department,he,2,4,2
departments,the,1,2,2
details,of,1,2,2
director,of,3,6,2
director,s,1,2,2
district,court,1,2,2
do,the,1,2,2
each,year,2,4,2
earlier,the,1,2,2
effort,the,1,2,2
efforts,on,1,2,2
enrolled,in,1,2,2
especially,those,1,2,2
every,few,1,2,2
everyone,in,1,2,2
exited,the,1,2,2
fall,outside,1,2,2
family,members,1,2,2
fbi,had,1,2,2
few,years,1,2,2
figure,in,1,2,2
filled,with,1,2,2
fled,on,1,2,2
followed,the,1,2,2
following,an,1,2,2
for,low,1,2,2
for,robbery,1,2,2
for,sale,1,2,2
for,them,1,2,2
found,the,2,4,2
fountain,valley,1,2,2
francisco,fbi,1,2,2
from,criminal,1,2,2
from,his,1,2,2
from,to,1,2,2
gang,violence,1,2,2
gets,a,1,2,2
given,a,1,2,2
goals,of,1,2,2
groups,like,1,2,2
had,to,1,2,2
hard,to,1,2,2
has,changed,1,2,2
has,shown,1,2,2
has,worked,1,2,2
has,written,1,2,2
he,saw,1,2,2
he,will,1,2,2
help,reduce,1,2,2
help,them,1,2,2
his,own,1,2,2
history,but,1,2,2
i,have,1,2,2
identified,the,1,2,2
if,they,2,4,2
images,of,2,4,2
in,areas,2,4,2
in,court,2,4,2
in,domestic,1,2,2
in,finding,1,2,2
in,san,2,4,2
in,to,2,4,2
in,united,1,2,2
in,what,1,2,2
incident,to,1,2,2
included,a,1,2,2
included,the,1,2,2
includes,the,1,2,2
including,a,1,2,2
increased,crime,1,2,2
increased,the,1,2,2
increases,in,1,2,2
into,an,1,2,2
introduction,to,1,2,2
is,based,1,2,2
is,little,1,2,2
is,unclear,1,2,2
it,and,2,4,2
it,appears,1,2,2
james,j,2,4,2
last,month,2,4,2
lead,in,1,2,2
lee,baca,1,2,2
left,the,1,2,2
made,by,1,2,2
major,cities,1,2,2
mandated,by,1,2,2
men,on,1,2,2
middle,class,2,4,2
name,of,1,2,2
nearly,every,1,2,2
needs,of,1,2,2
new,information,1,2,2
not,all,1,2,2
